iter	Passed	Remaining
0	149	149448
1	151	75568
2	153	50982
3	155	38670
4	157	31275
5	159	26445
6	161	22924
7	165	20525
8	168	18521
9	170	16854
10	191	17227
11	193	15930
12	196	14881
13	202	14231
14	203	13387
15	205	12653
16	208	12047
17	210	11494
18	212	10990
19	215	10538
20	220	10267
21	221	9864
22	223	9502
23	229	9313
24	239	9358
25	241	9060
26	243	8784
27	245	8534
28	248	8315
29	250	8093
30	252	7885
31	259	7840
32	261	7662
33	263	7494
34	268	7389
35	269	7228
36	271	7075
37	275	6972
38	304	7505
39	306	7352
40	310	7272
41	312	7133
42	314	7004
43	316	6877
44	318	6757
45	320	6642
46	322	6530
47	323	6422
48	325	6320
49	331	6299
50	335	6235
51	337	6144
52	339	6059
53	354	6205
54	356	6117
55	358	6045
56	361	5985
57	364	5924
58	367	5862
59	369	5789
60	371	5716
61	373	5645
62	376	5592
63	377	5527
64	379	5465
65	382	5407
66	384	5349
67	386	5300
68	411	5558
69	418	5560
70	420	5502
71	422	5444
72	427	5423
73	428	5366
74	430	5311
75	432	5257
76	437	5240
77	439	5190
78	441	5141
79	442	5093
80	445	5055
81	447	5010
82	448	4953
83	478	5215
84	480	5172
85	487	5176
86	490	5143
87	494	5122
88	496	5078
89	498	5044
90	501	5009
91	503	4970
92	505	4931
93	507	4893
94	517	4933
95	520	4898
96	522	4864
97	524	4826
98	535	4869
99	573	5158
100	575	5118
101	580	5110
102	598	5211
103	600	5171
104	602	5131
105	618	5220
106	621	5186
107	623	5150
108	625	5112
109	628	5085
110	632	5065
111	634	5029
112	635	4992
113	637	4955
114	758	5840
115	764	5823
116	768	5799
117	770	5759
118	772	5717
119	775	5683
120	776	5643
121	780	5617
122	784	5594
123	787	5560
124	796	5576
125	799	5547
126	801	5508
127	804	5479
128	806	5443
129	865	5791
130	867	5752
131	869	5718
132	872	5688
133	885	5724
134	887	5687
135	889	5650
136	891	5614
137	893	5580
138	895	5546
139	897	5511
140	901	5493
141	902	5454
142	904	5420
143	906	5386
144	907	5353
145	961	5624
146	963	5590
147	965	5556
148	991	5660
149	994	5636
150	1003	5639
151	1007	5618
152	1016	5628
153	1021	5611
154	1024	5582
155	1026	5552
156	1028	5520
157	1029	5488
158	1031	5457
159	1033	5427
160	1034	5393
161	1039	5375
162	1067	5483
163	1071	5463
164	1073	5432
165	1077	5415
166	1090	5437
167	1091	5407
168	1093	5377
169	1098	5364
170	1100	5335
171	1102	5306
172	1104	5277
173	1106	5251
174	1108	5223
175	1110	5196
176	1112	5170
177	1183	5467
178	1185	5439
179	1187	5410
180	1189	5384
181	1191	5357
182	1242	5545
183	1243	5515
184	1245	5486
185	1248	5463
186	1250	5436
187	1255	5422
